iter	Passed	Remaining
165	48859	2305827
166	49129	2304365
167	49451	2305388
168	49716	2303705
169	50002	2303070
170	50271	2301600
171	50553	2300778
172	50859	2301019
173	51141	2300205
174	51430	2299687
175	51712	2298858
176	52005	2298546
177	52298	2298188
178	52587	2297706
179	52832	2295277
180	53109	2294268
181	53388	2293350
182	53647	2291594
183	53938	2291195
184	54210	2290034
185	54487	2289040
186	54829	2290807
187	55118	2290364
188	55439	2291186
189	55749	2291602
190	56034	2290952
191	56316	2290198
192	56595	2289327
193	56878	2288628
194	57199	2289436
195	57480	2288652
196	57751	2287479
197	58017	2286115
198	58293	2285147
199	58567	2284151
200	58856	2283686
201	59189	2284945
202	59466	2284038
203	59737	2282894
204	60030	2282611
205	60316	2282086
206	60590	2281078
207	60868	2280227
208	61146	2279404
209	61420	2278423
210	61699	2277633
211	61984	2277048
212	62271	2276563
213	62614	2278118
214	62881	2276910
215	63180	2276825
216	63455	2275913
217	63728	2274932
218	64035	2275158
219	64367	2276286
220	64618	2274525
221	64924	2274706
222	65213	2274296
223	65486	2273328
224	65766	2272596
225	66082	2273108
226	66402	2273777
227	66682	2273060
228	66966	2272479
229	67257	2272128
230	67521	2270901
231	67783	2269564
232	68049	2268422
233	68359	2268730
234	68635	2267904
235	68912	2267090
236	69192	2266426
237	69458	2265288
238	69744	2264792
239	70051	2264992
240	70323	2264077
241	70590	2262994
242	70881	2262680
243	71179	2262570
244	71449	2261607
245	71745	2261431
246	72049	2261522
247	72363	2261943
248	72657	2261726
249	72980	2262393
250	73261	2261774
251	73535	2260923
252	73880	2262247
253	74158	2261554
254	74440	2260944
255	74714	2260123
256	74993	2259436
257	75239	2257761
258	75505	2256705
259	75787	2256134
260	76092	2256230
261	76369	2255533
262	76648	2254873
263	76923	2254092
264	77192	2253152
265	77479	2252732
266	77758	2252073
267	78051	2251858
268	78347	2251693
269	78622	2250933
270	78896	2250163
271	79185	2249795
272	79475	2249488
273	79787	2249779
274	80078	2249490
275	80356	2248829
276	80619	2247742
277	80914	2247567
278	81199	2247092
279	81432	2245222
280	81709	2244542
281	82003	2244344
282	82284	2243766
283	82578	2243583
284	82847	2242686
285	83120	2241929
286	83390	2241087
287	83671	2240544
288	83958	2240139
289	84304	2241337
290	84582	2240715
291	84875	2240469
292	85156	2239927
293	85429	2239174
294	85748	2239639
295	86051	2239663
296	86331	2239097
297	86590	2237975
298	86878	2237631
299	87153	2236945
300	87416	2235957
301	87693	2235310
302	87969	2234667
303	88260	2234382
304	88575	2234704
305	88865	2234418
306	89168	2234432
307	89443	2233775
308	89707	2232806
309	89982	2232152
310	90266	2231690
311	90530	2230766
312	90811	2230257
313	91120	2230415
314	91394	2229747
315	91651	2228650
316	91923	2227923
317	92200	2227298
318	92560	2228713
319	92852	2228448
320	93134	2227972
321	93423	2227664
322	93688	2226764
323	93962	2226098
324	94224	2225137
325	94483	2224119
326	94756	2223433
327	95059	2223467
328	95388	2224090
329	95660	2223372
330	95934	2222722
331	96215	2222228
332	96493	2221663
333	96725	2220062
334	96990	2219209
335	97229	2217763
336	97489	2216794
337	97788	2216726
338	98058	2215999
339	98329	2215312
340	98591	2214416
341	98869	2213867
342	99167	2213770
343	99439	2213110
344	99701	2212213
345	99974	2211565
346	100251	2211013
347	100531	2210534
348	100794	2209673
349	101063	2208961
350	101339	2208397
351	101624	2208018
352	101894	2207334
353	102161	2206583
